Player,Team,Link
"Lee, Marqise",JAX,/player/marqiselee/2543475/
"Lenoir, Lance",DAL,/player/lancelenoir/2559394/
"Lewis, Tommylee",NO,/player/tommyleelewis/2556752/
"Lockett, Tyler",SEA,/player/tylerlockett/2552430/
"Lodge, DaMarkus",CIN,/player/damarkuslodge/2562306/
"Louis, Ricardo",MIA,/player/ricardolouis/2555473/
"Malone, Josh",NYJ,/player/joshmalone/2558127/
"Matthews, Jordan",SF,/player/jordanmatthews/2543500/
"McCloud, Ray-Ray",BUF,/player/ray-raymccloud/2560801/
"McKenzie, Isaiah",BUF,/player/isaiahmckenzie/2558129/
"McKnight, Kelvin",DEN,/player/kelvinmcknight/2562837/
"McLaurin, Terry",WAS,/player/terrymclaurin/2562489/
"Metcalf, DK",SEA,/player/dkmetcalf/2562685/
"Meyers, Jakobi",NE,/player/jakobimeyers/2562492/
"Michel, Marken",PHI,/player/markenmichel/2556616/
"Mickens, Jaydon",TB,/player/jaydonmickens/2556861/
"Miller, Anthony",CHI,/player/anthonymiller/2560810/
"Miller, Scott",TB,/player/scottmiller/2562865/
"Mitchell, Bryant",TB,/player/bryantmitchell/2562043/
"Mitchell, Dillon",MIN,/player/dillonmitchell/2562688/
"Mitchell, Steven",HOU,/player/stevenmitchell/2560812/
"Modster, Sean",BAL,/player/seanmodster/2563096/
"Montgomery, D.J.",CLE,/player/d.j.montgomery/2562827/
"Moore, Chris",BAL,/player/chrismoore/2555209/
"Moore, David",SEA,/player/davidmoore/2558856/
"Moore, D.J.",CAR,/player/d.j.moore/2560813/
"Moore, J'Mon",CLE,/player/j'monmoore/2560814/
"Moore, Jason",LAC,/player/jasonmoore/2562860/
"Morgan, Stanley",CIN,/player/stanleymorgan/2562504/
"Natson, JoJo",LA,/player/jojonatson/2558905/
"Olszewski, Gunner",NE,/player/gunnerolszewski/2563329/
"Parker, DeVante",MIA,/player/devanteparker/2552409/
"Pascal, Zach",IND,/player/zachpascal/2558877/
"Patrick, Tim",DEN,/player/timpatrick/2558985/
"Patterson, Cordarrelle",CHI,/player/cordarrellepatterson/2540145/
"Patton, Andre",LAC,/player/andrepatton/2559227/
"Peake, Charone",JAX,/player/charonepeake/2555477/
"Perriman, Breshad",TB,/player/breshadperriman/2552597/
